"","Category","PdDistrict","X","Y"
"571005","VANDALISM","SOUTHERN",-122.412620258006,37.7770259271797
"630341","DRUG/NARCOTIC","BAYVIEW",-122.389018643182,37.7423587130896
"789265","VEHICLE THEFT","BAYVIEW",-122.387729373698,37.7312323939241
"459383","BURGLARY","NORTHERN",-122.419456894393,37.7768617186718
"826316","SECONDARY CODES","BAYVIEW",-122.39859360431,37.7204502300801
"174362","LARCENY/THEFT","MISSION",-122.407538332319,37.7657827544276
"537069","LARCENY/THEFT","PARK",-122.458951288653,37.7481092594339
"631470","LARCENY/THEFT","NORTHERN",-122.431206932079,37.7845681170336
"45896","WEAPON LAWS","SOUTHERN",-122.415444159886,37.7780245674641
"161815","SUSPICIOUS OCC","NORTHERN",-122.432116233695,37.7800304351156
"131796","LARCENY/THEFT","NORTHERN",-122.435850712365,37.7905022209606
"160932","LARCENY/THEFT","MISSION",-122.419694769885,37.7577752793043
"262751","NON-CRIMINAL","SOUTHERN",-122.410334776842,37.7728140362003
"404377","LARCENY/THEFT","INGLESIDE",-122.453409884858,37.7315296799363
"726529","OTHER OFFENSES","TENDERLOIN",-122.411800134753,37.7840890366868
"444508","MISSING PERSON","RICHMOND",-122.485529481793,37.7771701179455
"344540","MISSING PERSON","BAYVIEW",-122.394438859914,37.7364438996732
"371665","VEHICLE THEFT","TENDERLOIN",-122.414269361877,37.7842081124308
"650807","OTHER OFFENSES","SOUTHERN",-122.408518394535,37.773760403167
"267868","LARCENY/THEFT","SOUTHERN",-122.407844136792,37.7767462195389
"352143","OTHER OFFENSES","MISSION",-122.417016663517,37.7595460924587
"265402","VANDALISM","BAYVIEW",-122.387247607197,37.7208692407802
"866134","OTHER OFFENSES","TARAVAL",-122.468899845559,37.7392774526754
"806641","VEHICLE THEFT","TARAVAL",-122.464938189897,37.7217318702357
"5549","LIQUOR LAWS","BAYVIEW",-122.405226360283,37.7614068935355
"39036","ASSAULT","TARAVAL",-122.460564524171,37.7113249681306
"533068","LARCENY/THEFT","TENDERLOIN",-122.412606230898,37.7810067957738
"33800","LARCENY/THEFT","RICHMOND",-122.449636031165,37.7823043073506
"639639","BURGLARY","CENTRAL",-122.404784825095,37.7886943991722
"453442","NON-CRIMINAL","BAYVIEW",-122.38628498364,37.7312896874195
"337999","VANDALISM","SOUTHERN",-122.403404791479,37.775420706711
"367225","OTHER OFFENSES","NORTHERN",-122.420691680792,37.7905770710537
"807402","VEHICLE THEFT","MISSION",-122.432951132171,37.7626190753451
"506407","SEX OFFENSES FORCIBLE","SOUTHERN",-122.403070886779,37.7877867423496
"340840","WARRANTS","SOUTHERN",-122.396305356237,37.7932572003309
"709084","ASSAULT","TENDERLOIN",-122.409756223507,37.7869126924267
"519372","VANDALISM","MISSION",-122.419058868103,37.7594227506297
"191231","LARCENY/THEFT","TARAVAL",-122.460290505803,37.7209451195999
"576205","OTHER OFFENSES","NORTHERN",-122.432706975892,37.7832909416362
"316914","STOLEN PROPERTY","BAYVIEW",-122.404830420604,37.7307945918953
"107582","WEAPON LAWS","TARAVAL",-122.476495067943,37.7383216641636
"561854","LARCENY/THEFT","NORTHERN",-122.432018826546,37.7756739897587
"462119","SUSPICIOUS OCC","NORTHERN",-122.432142776025,37.780495583709
"194732","ASSAULT","SOUTHERN",-122.409708423721,37.7828276498838
"756791","FRAUD","BAYVIEW",-122.388078475154,37.7324430442707
"745159","DRUG/NARCOTIC","SOUTHERN",-122.406629219771,37.7777816676305
"528124","STOLEN PROPERTY","BAYVIEW",-122.409534393077,37.7287466344276
"392235","MISSING PERSON","SOUTHERN",-122.413045971966,37.7738617771611
"529012","DRUG/NARCOTIC","TENDERLOIN",-122.412970537591,37.7857883766888
"778762","VEHICLE THEFT","RICHMOND",-122.457590896245,37.7762481844578
"471571","LARCENY/THEFT","RICHMOND",-122.466204667893,37.7725405391593
"338237","FRAUD","RICHMOND",-122.443842924589,37.7838441255105
"157406","OTHER OFFENSES","MISSION",-122.41965834371,37.7642205603745
"347487","LARCENY/THEFT","SOUTHERN",-122.396707150502,37.7855429503041
"290899","SUSPICIOUS OCC","BAYVIEW",-122.390429715575,37.7351563001283
"88316","ASSAULT","MISSION",-122.413261970103,37.752610055276
"79620","LARCENY/THEFT","CENTRAL",-122.411156854389,37.8059786528897
"437814","WARRANTS","BAYVIEW",-122.390971734551,37.7340152180723
"700214","ASSAULT","SOUTHERN",-122.413583483648,37.7770436202636
"615186","NON-CRIMINAL","INGLESIDE",-122.44186493874,37.7176034408746
"80775","LARCENY/THEFT","TENDERLOIN",-122.411615075408,37.7831614109395
"614738","LARCENY/THEFT","SOUTHERN",-122.41248627649,37.773001280588
"612266","OTHER OFFENSES","BAYVIEW",-122.388318045049,37.757939423202
"759652","WARRANTS","CENTRAL",-122.40809943667,37.7953991562138
"814983","ASSAULT","SOUTHERN",-122.39784956123,37.7793117074346
"498297","OTHER OFFENSES","SOUTHERN",-122.413045971966,37.7738617771611
"485390","VANDALISM","PARK",-122.448043124454,37.7823710354886
"813908","NON-CRIMINAL","SOUTHERN",-122.404274029584,37.7775131178937
"822231","DRUG/NARCOTIC","NORTHERN",-122.424295891283,37.7833983074747
"583292","SECONDARY CODES","TARAVAL",-122.485330523287,37.7435445275643
"366289","DRUG/NARCOTIC","BAYVIEW",-122.387384766736,37.7348226408358
"288221","ASSAULT","TARAVAL",-122.477309120603,37.7654460715825
"109458","ASSAULT","BAYVIEW",-122.388280875001,37.763131942302
"298058","ASSAULT","SOUTHERN",-122.407163046954,37.7797376338991
"349400","OTHER OFFENSES","CENTRAL",-122.402211585047,37.7910457572159
"150582","FRAUD","PARK",-122.4453467866,37.7702081959172
"167300","OTHER OFFENSES","SOUTHERN",-122.410939205552,37.7792122590085
"581688","LARCENY/THEFT","CENTRAL",-122.401296359836,37.7921175913048
"433535","LARCENY/THEFT","SOUTHERN",-122.418299619441,37.7715376281605
"304011","WEAPON LAWS","TARAVAL",-122.507191798505,37.743533772706
"388929","TRESPASS","RICHMOND",-122.458724812805,37.7802795296617
"186229","ASSAULT","BAYVIEW",-122.388321056607,37.7367566432966
"573344","DRUG/NARCOTIC","TENDERLOIN",-122.412970537591,37.7857883766888
"202721","BURGLARY","MISSION",-122.406539115148,37.7564864109309
"172052","OTHER OFFENSES","SOUTHERN",-122.403404791479,37.775420706711
"797661","DRUG/NARCOTIC","TENDERLOIN",-122.411965795229,37.7849141859562
"500049","VANDALISM","SOUTHERN",-122.403413040525,37.7872743866375
"13546","ASSAULT","TARAVAL",-122.464740619379,37.7273727885074
"377845","LARCENY/THEFT","MISSION",-122.438363078386,37.7617033702349
"132378","ROBBERY","BAYVIEW",-122.402912161235,37.7258054513775
"633627","VEHICLE THEFT","MISSION",-122.409767637153,37.7503334758742
"434880","SUSPICIOUS OCC","TARAVAL",-122.481276858364,37.7615089787304
"155796","BURGLARY","CENTRAL",-122.41644364341,37.8071179730665
"491307","WARRANTS","RICHMOND",-122.466204667893,37.7725405391593
"305733","OTHER OFFENSES","TARAVAL",-122.495497932048,37.7496603608218
"384416","NON-CRIMINAL","SOUTHERN",-122.407633520742,37.7841893501425
"421046","VANDALISM","MISSION",-122.41190223263,37.7526284767606
"791603","LIQUOR LAWS","CENTRAL",-122.412143310592,37.8067579022602
"381220","NON-CRIMINAL","SOUTHERN",-122.403404791479,37.775420706711
"100634","OTHER OFFENSES","BAYVIEW",-122.383433948755,37.7297381449981
"100989","NON-CRIMINAL","RICHMOND",-122.464279879446,37.7800332991006
"463933","LARCENY/THEFT","TENDERLOIN",-122.40642786236,37.78710945429
"60817","DRUNKENNESS","SOUTHERN",-122.41481714113,37.7711828947702
"20018","LARCENY/THEFT","MISSION",-122.410612162957,37.7669031554598
"217754","MISSING PERSON","BAYVIEW",-122.402116556292,37.7332354676556
"219718","ASSAULT","CENTRAL",-122.40038746482,37.8025735991651
"877168","BURGLARY","BAYVIEW",-122.388475895424,37.7415220401097
"369346","DRUG/NARCOTIC","INGLESIDE",-122.420556751442,37.7108945814914
"426890","OTHER OFFENSES","SOUTHERN",-122.408953598279,37.783287873572
"82208","LARCENY/THEFT","MISSION",-122.430542885533,37.7615591117701
"346119","LARCENY/THEFT","SOUTHERN",-122.411071423064,37.7817511307229
"359308","DRUG/NARCOTIC","TENDERLOIN",-122.414619686906,37.785583058847
"599842","WARRANTS","SOUTHERN",-122.408437135288,37.7819543949998
"207810","FRAUD","TARAVAL",-122.500837040524,37.7308580846494
"737459","VEHICLE THEFT","NORTHERN",-122.432764365584,37.8002576984048
"141256","NON-CRIMINAL","INGLESIDE",-122.449991675265,37.7421901098444
"88534","NON-CRIMINAL","RICHMOND",-122.510036841034,37.7732570409944
"563070","LARCENY/THEFT","CENTRAL",-122.413062015476,37.8033121405811
"430857","DRIVING UNDER THE INFLUENCE","TENDERLOIN",-122.414056291891,37.7827931071006
"854708","LARCENY/THEFT","MISSION",-122.414919860554,37.748231100537
"713671","LARCENY/THEFT","MISSION",-122.410478069487,37.7662463209137
"845383","DRUG/NARCOTIC","BAYVIEW",-122.388093075177,37.7371077137287
"325030","OTHER OFFENSES","BAYVIEW",-122.395265488404,37.7232222390124
"533458","VEHICLE THEFT","INGLESIDE",-122.406478914823,37.7087762178548
"116409","DRUNKENNESS","SOUTHERN",-122.403404791479,37.775420706711
"614753","NON-CRIMINAL","MISSION",-122.406539115148,37.7564864109309
"103213","OTHER OFFENSES","MISSION",-122.412997488068,37.7525722462226
"4083","MISSING PERSON","TENDERLOIN",-122.413135715743,37.7862599043196
"461661","DISORDERLY CONDUCT","RICHMOND",-122.46055149012,37.7813140417196
"366713","LARCENY/THEFT","TENDERLOIN",-122.405895369887,37.7867342184983
"570013","ASSAULT","SOUTHERN",-122.410554192457,37.7762525066432
"440435","LARCENY/THEFT","TENDERLOIN",-122.414056291891,37.7827931071006
"669635","BURGLARY","NORTHERN",-122.428640754534,37.8006638617379
"595852","SUSPICIOUS OCC","TARAVAL",-122.46634028617,37.7566123449304
"81456","TRESPASS","NORTHERN",-122.420422400634,37.7889233553137
"287708","FRAUD","SOUTHERN",-122.415448759562,37.778293520129
"757254","NON-CRIMINAL","BAYVIEW",-122.396516098261,37.7523112196892
"292324","OTHER OFFENSES","BAYVIEW",-122.392074167872,37.7308550434271
"26800","LARCENY/THEFT","NORTHERN",-122.431927470567,37.7707315288345
"659733","ASSAULT","BAYVIEW",-122.378929147032,37.735189216668
"99673","MISSING PERSON","BAYVIEW",-122.394438859914,37.7364438996732
"676921","VEHICLE THEFT","BAYVIEW",-122.402841680867,37.7450364333137
"431734","FORGERY/COUNTERFEITING","RICHMOND",-122.439687134173,37.7843190300426
"390847","DRUG/NARCOTIC","TENDERLOIN",-122.415885065788,37.7835160564153
"144337","ASSAULT","BAYVIEW",-122.389877486888,37.7367416338184
"737273","BURGLARY","BAYVIEW",-122.401264905935,37.7303323096369
"488863","BURGLARY","RICHMOND",-122.48581229108,37.7725503666501
"201532","OTHER OFFENSES","TARAVAL",-122.481539457424,37.7652569107462
"651378","WARRANTS","MISSION",-122.406539115148,37.7564864109309
"828678","OTHER OFFENSES","TARAVAL",-122.463958201329,37.714242338502
"219016","LARCENY/THEFT","SOUTHERN",-122.413361136168,37.77636280535
"730546","OTHER OFFENSES","INGLESIDE",-122.429897303254,37.7088675402075
"623394","BURGLARY","BAYVIEW",-122.390412132668,37.7360102192532
"284866","OTHER OFFENSES","BAYVIEW",-122.390922553406,37.7198785524783
"581571","NON-CRIMINAL","SOUTHERN",-122.402343659494,37.7811666837563
"323488","NON-CRIMINAL","SOUTHERN",-122.393559121228,37.7794201313347
"140704","LARCENY/THEFT","MISSION",-122.426147009527,37.7621591031418
"281538","DRUG/NARCOTIC","SOUTHERN",-122.413564091744,37.779514030063
"241927","OTHER OFFENSES","NORTHERN",-122.433030311668,37.7973462529678
"744951","LARCENY/THEFT","CENTRAL",-122.411206348242,37.8021006193316
"34430","LARCENY/THEFT","TARAVAL",-122.483204413178,37.717582702172
"649339","VANDALISM","RICHMOND",-122.458462835765,37.7894826746909
"270445","NON-CRIMINAL","PARK",-122.452055909383,37.770311544715
"750851","ASSAULT","MISSION",-122.41469551481,37.7596861764245
"345366","OTHER OFFENSES","PARK",-122.449981765652,37.7662643310539
"854620","FORGERY/COUNTERFEITING","BAYVIEW",-122.402671594737,37.7564229800263
"304709","DRUG/NARCOTIC","SOUTHERN",-122.409776479312,37.7810558831366
"134592","SUSPICIOUS OCC","NORTHERN",-122.419739837805,37.7858926099715
"454057","BURGLARY","RICHMOND",-122.454092723279,37.7862748742981
"542861","LARCENY/THEFT","PARK",-122.439480772242,37.7833088100846
"170431","WARRANTS","NORTHERN",-122.418641097069,37.7846595655176
"513073","NON-CRIMINAL","SOUTHERN",-122.409536662692,37.7826911213472
"347171","LARCENY/THEFT","SOUTHERN",-122.395097774181,37.7940590485562
"454129","LARCENY/THEFT","NORTHERN",-122.41827417166,37.7870372043685
"248007","OTHER OFFENSES","BAYVIEW",-122.414809966357,37.7865194111614
"383376","VANDALISM","SOUTHERN",-122.393968242372,37.7861359964429
"660134","NON-CRIMINAL","SOUTHERN",-122.403404791479,37.775420706711
"420196","OTHER OFFENSES","MISSION",-122.416389710283,37.7652491154383
"308243","LARCENY/THEFT","CENTRAL",-122.41274032268,37.788755110963
"582107","DRUG/NARCOTIC","SOUTHERN",-122.407844136792,37.7767462195389
"228506","ASSAULT","NORTHERN",-122.432951589917,37.8050520228881
"384317","OTHER OFFENSES","MISSION",-122.407538332319,37.7657827544276
"1494","LARCENY/THEFT","NORTHERN",-122.423217673913,37.7864017954155
"197453","PROSTITUTION","MISSION",-122.416220195692,37.7628151579852
"75834","LARCENY/THEFT","NORTHERN",-122.421477162118,37.7861527352201
"479816","OTHER OFFENSES","NORTHERN",-122.422984865337,37.7893598360149
"464770","DRUG/NARCOTIC","BAYVIEW",-122.392351560046,37.7300677159311
"416896","LARCENY/THEFT","MISSION",-122.421082850193,37.764910844226
"156773","RECOVERED VEHICLE","MISSION",-122.437325143517,37.750237412458
"192790","WARRANTS","TENDERLOIN",-122.414056291891,37.7827931071006
"308491","OTHER OFFENSES","MISSION",-122.406751589677,37.7493080513683
"515940","DRUG/NARCOTIC","TENDERLOIN",-122.410928353347,37.7836778741124
"474504","LARCENY/THEFT","MISSION",-122.407685897302,37.7670824029841
"246571","SUSPICIOUS OCC","SOUTHERN",-122.39094664724,37.7851593943218
"276717","LARCENY/THEFT","PARK",-122.435357598597,37.7793814654384
"149844","NON-CRIMINAL","RICHMOND",-122.468442785662,37.786452704359
"517906","VANDALISM","MISSION",-122.431304274727,37.7642928874306
"877023","OTHER OFFENSES","TENDERLOIN",-122.41431222924,37.7798339183587
"154126","OTHER OFFENSES","TENDERLOIN",-122.414056291891,37.7827931071006
"266836","EXTORTION","TARAVAL",-122.494291805204,37.748758534021
"258780","WARRANTS","TENDERLOIN",-122.413069926397,37.7820204255866
"731986","OTHER OFFENSES","NORTHERN",-122.430436523482,37.7721069661715
"795285","LARCENY/THEFT","MISSION",-122.420817675346,37.7544878225551
"830871","VEHICLE THEFT","TENDERLOIN",-122.415694922141,37.7825851968238
"190201","DRUG/NARCOTIC","MISSION",-122.41965834371,37.7642205603745
"378831","TRESPASS","MISSION",-122.419350173229,37.7610160912056
"585369","ROBBERY","NORTHERN",-122.430047639392,37.7788487867396
"738723","LARCENY/THEFT","TENDERLOIN",-122.406351834294,37.7860311576362
"237519","OTHER OFFENSES","SOUTHERN",-122.403404791479,37.775420706711
"520052","OTHER OFFENSES","NORTHERN",-122.428773199378,37.7847222825051
"821357","VEHICLE THEFT","SOUTHERN",-122.422513037848,37.7707107653585
"419225","LARCENY/THEFT","MISSION",-122.42272787354,37.7503729275402
"181046","WARRANTS","SOUTHERN",-122.408421116922,37.7835699386918
"41158","WEAPON LAWS","CENTRAL",-122.414809966357,37.7865194111614
"74154","LARCENY/THEFT","SOUTHERN",-122.409795194505,37.7800356268394
"666382","LARCENY/THEFT","BAYVIEW",-122.393732090382,37.7640221094133
"458164","OTHER OFFENSES","MISSION",-122.421082850193,37.764910844226
"103600","MISSING PERSON","RICHMOND",-122.480448291968,37.7792984761341
"689212","WARRANTS","TENDERLOIN",-122.406351834294,37.7860311576362
"617912","SUSPICIOUS OCC","NORTHERN",-122.421949487547,37.7884881521135
"527463","MISSING PERSON","MISSION",-122.406604919508,37.7571580431915
"784136","MISSING PERSON","CENTRAL",-122.404799424958,37.7944525389252
"224127","BURGLARY","CENTRAL",-122.413347040169,37.7956405095894
"50469","LARCENY/THEFT","TARAVAL",-122.461063433153,37.7402916946674
"587618","FORGERY/COUNTERFEITING","MISSION",-122.419441713847,37.7585539786803
"251382","LARCENY/THEFT","SOUTHERN",-122.408520791815,37.7785853155801
"241631","DRUG/NARCOTIC","SOUTHERN",-122.413564091744,37.779514030063
"778005","OTHER OFFENSES","MISSION",-122.420575720933,37.7641819463712
"219031","LARCENY/THEFT","SOUTHERN",-122.389008295709,37.7892474519723
"791564","ASSAULT","TARAVAL",-122.457577558464,37.7141207605828
"284629","ASSAULT","SOUTHERN",-122.414317857881,37.7799444052046
"573040","BURGLARY","CENTRAL",-122.403161406047,37.7944323288641
"303217","ASSAULT","TENDERLOIN",-122.414850480524,37.7856087588303
"93114","LARCENY/THEFT","CENTRAL",-122.425300930134,37.8050769933248
"316957","FRAUD","BAYVIEW",-122.387897392339,37.7295044158952
"518550","DRUG/NARCOTIC","TENDERLOIN",-122.412970537591,37.7857883766888
"717480","LARCENY/THEFT","NORTHERN",-122.41945807316,37.7844990197768
"628503","DRUG/NARCOTIC","SOUTHERN",-122.409247675547,37.7813987340892
"376047","ASSAULT","MISSION",-122.406539115148,37.7564864109309
"755193","VEHICLE THEFT","SOUTHERN",-122.390579850948,37.7817984882729
"155853","VANDALISM","MISSION",-122.419196838603,37.7594144253287
"662674","WARRANTS","RICHMOND",-122.500139330498,37.7775132030569
"751700","VEHICLE THEFT","NORTHERN",-122.432469285194,37.7737575246852
"52455","LARCENY/THEFT","CENTRAL",-122.403895854165,37.7992478925162
"865127","VANDALISM","INGLESIDE",-122.448425073579,37.7228623767109
"2998","LARCENY/THEFT","NORTHERN",-122.433052223884,37.7974547210515
"39938","LARCENY/THEFT","SOUTHERN",-122.408421116922,37.7835699386918
"21273","OTHER OFFENSES","BAYVIEW",-122.38160966743,37.7311764618482
"942","LARCENY/THEFT","TENDERLOIN",-122.407244087032,37.7865647607685
"600763","LARCENY/THEFT","SOUTHERN",-122.403404791479,37.775420706711
"483078","LARCENY/THEFT","PARK",-122.442795743643,37.7828833959001
"313105","ASSAULT","NORTHERN",-122.425609695333,37.77319952577
"78625","SECONDARY CODES","SOUTHERN",-122.410939205552,37.7792122590085
"104686","KIDNAPPING","PARK",-122.441810132336,37.7808612802925
"294711","LARCENY/THEFT","SOUTHERN",-122.403404791479,37.775420706711
"32731","NON-CRIMINAL","MISSION",-122.419876917134,37.7695797471896
"207990","SUSPICIOUS OCC","MISSION",-122.421662616877,37.7648758178404
"315450","LARCENY/THEFT","CENTRAL",-122.417295322526,37.7862578545865
"316928","DRUG/NARCOTIC","SOUTHERN",-122.412651894354,37.7795131668888
"264753","LARCENY/THEFT","BAYVIEW",-122.39701495404,37.762495098651
"530505","LARCENY/THEFT","TARAVAL",-122.478278206332,37.7209451616295
"74906","NON-CRIMINAL","RICHMOND",-122.482453500706,37.7773103730721
"308501","WARRANTS","MISSION",-122.409131939489,37.7527969985584
"218631","VEHICLE THEFT","TARAVAL",-122.50514913453,37.7482800128019
"248144","MISSING PERSON","SOUTHERN",-122.407999186749,37.7778241673064
"602231","NON-CRIMINAL","PARK",-122.458680189782,37.7481554692332
"170692","VEHICLE THEFT","INGLESIDE",-122.427821457553,37.7321464533806
"773831","LARCENY/THEFT","MISSION",-122.408686198578,37.7619007350286
"44513","OTHER OFFENSES","INGLESIDE",-122.407270346349,37.7128977686972
"404563","SUSPICIOUS OCC","CENTRAL",-122.414449135147,37.8055701762625
"254940","LARCENY/THEFT","SOUTHERN",-122.40038746482,37.8025735991651
"11250","NON-CRIMINAL","SOUTHERN",-122.418480564808,37.775898446204
"716495","FRAUD","NORTHERN",-122.431834622947,37.7702707640359
"877144","OTHER OFFENSES","MISSION",-122.419671780303,37.7650501214714
"638945","FORGERY/COUNTERFEITING","SOUTHERN",-122.403919148357,37.7871160984672
"86696","LARCENY/THEFT","SOUTHERN",-122.399045655841,37.7813197113532
"405940","ASSAULT","BAYVIEW",-122.394461517783,37.7285100562628
"425228","DRUG/NARCOTIC","SOUTHERN",-122.409011206639,37.7811340568243
"584813","SECONDARY CODES","INGLESIDE",-122.431295002963,37.7287297938303
"805097","NON-CRIMINAL","CENTRAL",-122.415373701248,37.7893203404278
"626813","NON-CRIMINAL","INGLESIDE",-122.416192700509,37.718510177529
"90961","NON-CRIMINAL","BAYVIEW",-122.402571216964,37.7641259075201
"787534","NON-CRIMINAL","SOUTHERN",-122.408068345155,37.7839916767932
"385303","NON-CRIMINAL","RICHMOND",-122.50774902863,37.772411893408
"649565","ASSAULT","SOUTHERN",-122.411641938308,37.7700478463271
"117806","NON-CRIMINAL","BAYVIEW",-122.397744427103,37.7299346936044
"623204","DRUG/NARCOTIC","NORTHERN",-122.428223303176,37.7818959488603
"819068","OTHER OFFENSES","MISSION",-122.41561344008,37.7693628813207
"536736","TRESPASS","SOUTHERN",-122.39998111124,37.7776242389287
"108476","OTHER OFFENSES","MISSION",-122.41965834371,37.7642205603745
"600576","NON-CRIMINAL","TENDERLOIN",-122.415694922134,37.7825851968467
"585875","OTHER OFFENSES","RICHMOND",-122.479502311724,37.771265769233
"292037","FRAUD","CENTRAL",-122.402932209678,37.7933156161821
"371250","VANDALISM","SOUTHERN",-122.400377994049,37.7826462926371
"415908","LARCENY/THEFT","TARAVAL",-122.475222189932,37.7210571460375
"149011","SUSPICIOUS OCC","TENDERLOIN",-122.416916142188,37.7843944492068
"419210","PROSTITUTION","MISSION",-122.415929849548,37.7604330003754
"326407","LARCENY/THEFT","NORTHERN",-122.418229899721,37.7784895366813
"672193","ROBBERY","CENTRAL",-122.398447802857,37.7980037233355
"132857","LARCENY/THEFT","CENTRAL",-122.405219130615,37.7943448494409
"554678","OTHER OFFENSES","BAYVIEW",-122.390136349844,37.7368036226976
"746284","ASSAULT","INGLESIDE",-122.429782544787,37.7212089121452
"806260","LARCENY/THEFT","SOUTHERN",-122.403208907615,37.7730496400345
"49432","MISSING PERSON","INGLESIDE",-122.434764286692,37.7226161363136
"22266","WARRANTS","SOUTHERN",-122.405359371753,37.7859774761625
"100713","OTHER OFFENSES","TENDERLOIN",-122.412784096502,37.7848656939526
"394690","FRAUD","MISSION",-122.435187699349,37.7626702770872
"657743","VANDALISM","MISSION",-122.429567892224,37.7620293003384
"194034","LARCENY/THEFT","TARAVAL",-122.453603802698,37.7219076571989
"236746","OTHER OFFENSES","PARK",-122.458085846905,37.7449533187177
"615643","BURGLARY","TARAVAL",-122.463485078935,37.7351566783277
"818901","LARCENY/THEFT","SOUTHERN",-122.406346425632,37.7791674218963
"446379","DRUG/NARCOTIC","TENDERLOIN",-122.416710733848,37.7833570390935
"110255","OTHER OFFENSES","TENDERLOIN",-122.416732163096,37.783465567448
"13774","VEHICLE THEFT","BAYVIEW",-122.392447441376,37.746275498295
"216818","ASSAULT","NORTHERN",-122.418090766692,37.7861007451645
"313568","BURGLARY","BAYVIEW",-122.38958650613,37.7383723048018
"356067","ASSAULT","SOUTHERN",-122.403404791479,37.775420706711
"635228","OTHER OFFENSES","SOUTHERN",-122.365565425353,37.8096707013239
"758492","VEHICLE THEFT","RICHMOND",-122.495036567834,37.7748653244871
"336479","OTHER OFFENSES","PARK",-122.440341074545,37.7833242481047
"221805","OTHER OFFENSES","CENTRAL",-122.396612261014,37.7950446763389
"664548","FRAUD","CENTRAL",-122.406958660609,37.7894347629811
"562448","OTHER OFFENSES","INGLESIDE",-122.431261145638,37.7229250152155
"747145","VEHICLE THEFT","RICHMOND",-122.503098446489,37.7803900796193
"175335","LARCENY/THEFT","CENTRAL",-122.411679447877,37.7991164443528
"517894","SUSPICIOUS OCC","TARAVAL",-122.45756661137,37.7131276841881
"576906","DRUG/NARCOTIC","SOUTHERN",-122.406520987144,37.7850629421661
"615005","NON-CRIMINAL","SOUTHERN",-122.418480564808,37.775898446204
"779689","LARCENY/THEFT","NORTHERN",-122.420441315944,37.7810301390636
"660650","VEHICLE THEFT","MISSION",-122.422958425571,37.7627293201302
"370223","DRUG/NARCOTIC","TENDERLOIN",-122.415694922134,37.7825851968467
"112444","VEHICLE THEFT","MISSION",-122.424137406938,37.7535033970532
